NO, NAME, ADDRESS
126,(주)이마트 성수점 몰리스,서울특별시 성동구 성수동2가
127,꿀강아지 테리하우스,서울특별시 광진구 중곡동
128,순수,서울특별시 광진구 중곡동
129,아낌,서울특별시 광진구 구의동
130,김고은그루밍#,서울특별시 광진구 중곡동
131,Onene(오네네),서울특별시 광진구 중곡동
132,김언니 펫살롱,서울특별시 광진구 자양동
133,디어독,서울특별시 광진구 자양동
134,Canine Bath House,서울특별시 광진구 자양동
135,글로벌,서울특별시 광진구 중곡동
136,올리스 애견셀프목욕 & 펫살롱,서울특별시 광진구 구의동
137,컴투펫,서울특별시 광진구 자양동
138,버블링,서울특별시 광진구 자양동
139,카나비스 펫(cannabis pet),서울특별시 광진구 중곡동
140,bijou pet(비쥬펫),서울특별시 광진구 화양동
141,쥬라기동물병원,서울특별시 광진구 광장동
142,이쁘개멋있개,서울특별시 광진구 군자동
143,동서울동물병원,서울특별시 광진구 광장동
144,도기파크,서울특별시 광진구 자양동
145,노룬산동물병원,서울특별시 광진구 자양동
146,광진24시 필동물병원,서울특별시 광진구 구의동
147,빈브레드,서울특별시 광진구 광장동
148,광진 pet,서울특별시 광진구 구의동
149,로얄에이알씨(주),서울특별시 광진구 자양동
150,애플동물병원,서울특별시 광진구 능동
151,베이비독,서울특별시 광진구 자양동
152,희망애견샵,서울특별시 광진구 구의동
153,아차산동물병원,서울특별시 광진구 구의동
154,중앙애견,서울특별시 광진구 자양동
155,나루동물병원,서울특별시 광진구 광장동
156,로엘동물병원,서울특별시 광진구 자양동
157,스마트동물병원 군자점,서울특별시 광진구 중곡동
158,이다애견미용실,서울특별시 광진구 자양동
159,방주종합동물병원,서울특별시 광진구 중곡동
160,피카소 동물병원 미용,서울특별시 광진구 화양동
161,연두동물병원,서울특별시 광진구 구의동
162,용마동물병원,서울특별시 광진구 중곡동
163,(주)이마트 자양점,서울특별시 광진구 자양동
164,프라임동물병원,서울특별시 광진구 구의동
165,준동물병원,서울특별시 광진구 자양동
166,보람동물병원,서울특별시 광진구 군자동
167,다온동물병원,서울특별시 광진구 중곡동
168,중곡동물병원,서울특별시 광진구 중곡동
169,마이아지트,서울특별시 광진구 군자동
170,멍미,서울특별시 광진구 구의동
171,드림펫,서울특별시 광진구 중곡동
172,서울동물병원,서울특별시 광진구 중곡동
173,강아지놀이터,서울특별시 광진구 구의동
174,코코애견,서울특별시 광진구 중곡동
175,우쭈쭈,서울특별시 동대문구 용두동
176,무브멍트,서울특별시 동대문구 답십리동
177,신나개,서울특별시 동대문구 장안동
178,아이원 동물병원,서울특별시 동대문구 답십리동
179,호야펫살롱,서울특별시 동대문구 장안동
180,도그핏애견샵,서울특별시 동대문구 장안동
181,푸른종합동물병원,서울특별시 동대문구 청량리동
182,제연동물병원,서울특별시 동대문구 전농동
183,어디개,서울특별시 동대문구 장안동
184,산책길(반려동물 미용실),서울특별시 동대문구 답십리동
185,호두네,서울특별시 동대문구 전농동
186,꽃길만 걷개,서울특별시 동대문구 장안동
187,사랑해줄개,서울특별시 동대문구 이문동
